CODE,CODE_ORIG,CODE_DESCRIPTION
J95821,J95.821,Acute postprocedural respiratory failure
J95851,J95.851,Ventilator associated pneumonia
J9600,J96.00,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9601,J96.01,Acute respiratory failure with hypoxia
J9602,J96.02,Acute respiratory failure with hypercapnia
J9610,J96.10,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9611,J96.11,Chronic respiratory failure with hypoxia
J9612,J96.12,Chronic respiratory failure with hypercapnia
J9620,J96.20,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia"
J9621,J96.21,Acute and chronic respiratory failure with hypoxia
J9690,J96.90,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia"
J9691,J96.91,"Respiratory failure, unspecified with hypoxia"
J9801,J98.01,Acute bronchospasm
J9809,J98.09,"Other diseases of bronchus, not elsewhere classified"
J9811,J98.11,Atelectasis
J9819,J98.19,Other pulmonary collapse
J982,J98.2,Interstitial emphysema
J984,J98.4,Other disorders of lung
J986,J98.6,Disorders of diaphragm
J988,J98.8,Other specified respiratory disorders
K029,K02.9,"Dental caries, unspecified"
K0381,K03.81,Cracked tooth
K041,K04.1,Necrosis of pulp
K047,K04.7,Periapical abscess without sinus
K0500,K05.00,"Acute gingivitis, plaque induced"
K0510,K05.10,"Chronic gingivitis, plaque induced"
K08109,K08.109,"Complete loss of teeth, unspecified cause, unspecified class"
K08121,K08.121,"Complete loss of teeth due to periodontal diseases, class I"
K08409,K08.409,"Partial loss of teeth, unspecified cause, unspecified class"
K0889,K08.89,Other specified disorders of teeth and supporting structures
K089,K08.9,"Disorder of teeth and supporting structures, unspecified"
K1120,K11.20,"Sialoadenitis, unspecified"
K117,K11.7,Disturbances of salivary secretion
K118,K11.8,Other diseases of salivary glands
K119,K11.9,"Disease of salivary gland, unspecified"
K120,K12.0,Recurrent oral aphthae
K121,K12.1,Other forms of stomatitis
K122,K12.2,Cellulitis and abscess of mouth
K1230,K12.30,"Oral mucositis (ulcerative), unspecified"
K1231,K12.31,Oral mucositis (ulcerative) due to antineoplastic therapy
K130,K13.0,Diseases of lips
K1329,K13.29,"Other disturbances of oral epithelium, including tongue"
K1370,K13.70,Unspecified lesions of oral mucosa
K1379,K13.79,Other lesions of oral mucosa
K140,K14.0,Glossitis
K141,K14.1,Geographic tongue
K143,K14.3,Hypertrophy of tongue papillae
K146,K14.6,Glossodynia
K148,K14.8,Other diseases of tongue
K200,K20.0,Eosinophilic esophagitis
K208,K20.8,Other esophagitis
K2080,K20.80,Other esophagitis without bleeding
K209,K20.9,"Esophagitis, unspecified"
K2090,K20.90,"Esophagitis, unspecified without bleeding"
K210,K21.0,Gastro-esophageal reflux disease with esophagitis
K2100,K21.00,"Gastro-esophageal reflux disease with esophagitis, without bleeding"
K219,K21.9,Gastro-esophageal reflux disease without esophagitis
K220,K22.0,Achalasia of cardia
K2210,K22.10,Ulcer of esophagus without bleeding
K222,K22.2,Esophageal obstruction
K224,K22.4,Dyskinesia of esophagus
K2270,K22.70,Barrett's esophagus without dysplasia
K22710,K22.710,Barrett's esophagus with low grade dysplasia
K22719,K22.719,"Barrett's esophagus with dysplasia, unspecified"
K228,K22.8,Other specified diseases of esophagus
K229,K22.9,"Disease of esophagus, unspecified"
K257,K25.7,Chronic gastric ulcer without hemorrhage or perforation
K259,K25.9,"Gastric ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
K269,K26.9,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
K279,K27.9,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without hemorrhage or perforation"
K289,K28.9,"Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
K2900,K29.00,Acute gastritis without bleeding
K2920,K29.20,Alcoholic gastritis without bleeding
K2930,K29.30,Chronic superficial gastritis without bleeding
K2940,K29.40,Chronic atrophic gastritis without bleeding
K2950,K29.50,Unspecified chronic gastritis without bleeding
K2951,K29.51,Unspecified chronic gastritis with bleeding
K2960,K29.60,Other gastritis without bleeding
K2970,K29.70,"Gastritis, unspecified, without bleeding"
K2980,K29.80,Duodenitis without bleeding
K2990,K29.90,"Gastroduodenitis, unspecified, without bleeding"
K30,K30,Functional dyspepsia
K317,K31.7,Polyp of stomach and duodenum
K31811,K31.811,Angiodysplasia of stomach and duodenum with bleeding
K31819,K31.819,Angiodysplasia of stomach and duodenum without bleeding
K3182,K31.82,Dieulafoy lesion (hemorrhagic) of stomach and duodenum
K3184,K31.84,Gastroparesis
K3189,K31.89,Other diseases of stomach and duodenum
K319,K31.9,"Disease of stomach and duodenum, unspecified"
K353,K35.3,Acute appendicitis with localized peritonitis
K3580,K35.80,Unspecified acute appendicitis
K381,K38.1,Appendicular concretions
K388,K38.8,Other specified diseases of appendix
K4020,K40.20,"Bilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
K4090,K40.90,"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent"
K4091,K40.91,"Unilateral inguinal hernia, without obstruction or gangrene, recurrent"
K429,K42.9,Umbilical hernia without obstruction or gangrene
K432,K43.2,Incisional hernia without obstruction or gangrene
K436,K43.6,"Other and unspecified ventral hernia with obstruction, without gangrene"
K439,K43.9,Ventral hernia without obstruction or gangrene
K449,K44.9,Diaphragmatic hernia without obstruction or gangrene
K469,K46.9,Unspecified abdominal hernia without obstruction or gangrene
K5000,K50.00,Crohn's disease of small intestine without complications
K50012,K50.012,Crohn's disease of small intestine with intestinal obstruction
K50018,K50.018,Crohn's disease of small intestine with other complication
K50019,K50.019,Crohn's disease of small intestine with unspecified complications
K5010,K50.10,Crohn's disease of large intestine without complications
K50118,K50.118,Crohn's disease of large intestine with other complication
K5080,K50.80,Crohn's disease of both small and large intestine without complications
K5090,K50.90,"Crohn's disease, unspecified, without complications"
K50912,K50.912,"Crohn's disease, unspecified, with intestinal obstruction"
K50918,K50.918,"Crohn's disease, unspecified, with other complication"
K50919,K50.919,"Crohn's disease, unspecified, with unspecified complications"
K5100,K51.00,Ulcerative (chronic) pancolitis without complications
K51011,K51.011,Ulcerative (chronic) pancolitis with rectal bleeding
K5150,K51.50,Left sided colitis without complications
K5180,K51.80,Other ulcerative colitis without complications
K51811,K51.811,Other ulcerative colitis with rectal bleeding
K5190,K51.90,"Ulcerative colitis, unspecified, without complications"
K51911,K51.911,"Ulcerative colitis, unspecified with rectal bleeding"
K521,K52.1,Toxic gastroenteritis and colitis
K52839,K52.839,"Microscopic colitis, unspecified"
K5289,K52.89,Other specified noninfective gastroenteritis and colitis
K529,K52.9,"Noninfective gastroenteritis and colitis, unspecified"
K55069,K55.069,"Acute infarction of intestine, part and extent unspecified"
K551,K55.1,Chronic vascular disorders of intestine
K5520,K55.20,Angiodysplasia of colon without hemorrhage
K5521,K55.21,Angiodysplasia of colon with hemorrhage
K559,K55.9,"Vascular disorder of intestine, unspecified"
K561,K56.1,Intussusception
K562,K56.2,Volvulus
K5641,K56.41,Fecal impaction
K565,K56.5,Intestinal adhesions [bands] with obstruction (postinfection)
K5651,K56.51,"Intestinal adhesions [bands], with partial obstruction"
K5660,K56.60,Unspecified intestinal obstruction
K56600,K56.600,"Partial intestinal obstruction, unspecified as to cause"
K56609,K56.609,"Unspecified intestinal obstruction, unspecified as to partial versus complete obstruction"
K5669,K56.69,Other intestinal obstruction
K56699,K56.699,Other intestinal obstruction unspecified as to partial versus complete obstruction
K567,K56.7,"Ileus, unspecified"
K5710,K57.10,Diverticulosis of small intestine without perforation or abscess without bleeding
K5712,K57.12,Diverticulitis of small intestine without perforation or abscess without bleeding
K5720,K57.20,Diverticulitis of large intestine with perforation and abscess without bleeding
K5730,K57.30,Diverticulosis of large intestine without perforation or abscess without bleeding
K5732,K57.32,Diverticulitis of large intestine without perforation or abscess without bleeding
K5733,K57.33,Diverticulitis of large intestine without perforation or abscess with bleeding
K5750,K57.50,Diverticulosis of both small and large intestine without perforation or abscess without bleeding
K5780,K57.80,"Diverticulitis of intestine, part unspecified, with perforation and abscess without bleeding"
K5790,K57.90,"Diverticulosis of intestine, part unspecified, without perforation or abscess without bleeding"
K5792,K57.92,"Diverticulitis of intestine, part unspecified, without perforation or abscess without bleeding"
K580,K58.0,Irritable bowel syndrome with diarrhea
K581,K58.1,Irritable bowel syndrome with constipation
K582,K58.2,Mixed irritable bowel syndrome
K589,K58.9,Irritable bowel syndrome without diarrhea
K590,K59.0,Constipation
K5900,K59.00,"Constipation, unspecified"
K5901,K59.01,Slow transit constipation
K5903,K59.03,Drug induced constipation
K5904,K59.04,Chronic idiopathic constipation
K5909,K59.09,Other constipation
K591,K59.1,Functional diarrhea
K592,K59.2,"Neurogenic bowel, not elsewhere classified"
K598,K59.8,Other specified functional intestinal disorders
K602,K60.2,"Anal fissure, unspecified"
K603,K60.3,Anal fistula
K611,K61.1,Rectal abscess
K612,K61.2,Anorectal abscess
K621,K62.1,Rectal polyp
K622,K62.2,Anal prolapse
K624,K62.4,Stenosis of anus and rectum
K625,K62.5,Hemorrhage of anus and rectum
K626,K62.6,Ulcer of anus and rectum
K6289,K62.89,Other specified diseases of anus and rectum
K631,K63.1,Perforation of intestine (nontraumatic)
K633,K63.3,Ulcer of intestine
K635,K63.5,Polyp of colon
K6389,K63.89,Other specified diseases of intestine
K639,K63.9,"Disease of intestine, unspecified"
K640,K64.0,First degree hemorrhoids
K641,K64.1,Second degree hemorrhoids
K642,K64.2,Third degree hemorrhoids
K644,K64.4,Residual hemorrhoidal skin tags
K645,K64.5,Perianal venous thrombosis
K648,K64.8,Other hemorrhoids
K649,K64.9,Unspecified hemorrhoids
K651,K65.1,Peritoneal abscess
K652,K65.2,Spontaneous bacterial peritonitis
K654,K65.4,Sclerosing mesenteritis
K658,K65.8,Other peritonitis
K660,K66.0,Peritoneal adhesions (postprocedural) (postinfection)
K6811,K68.11,Postprocedural retroperitoneal abscess
K700,K70.0,Alcoholic fatty liver
K7011,K70.11,Alcoholic hepatitis with ascites
K7030,K70.30,Alcoholic cirrhosis of liver without ascites
K7031,K70.31,Alcoholic cirrhosis of liver with ascites
K709,K70.9,"Alcoholic liver disease, unspecified"
K7200,K72.00,Acute and subacute hepatic failure without coma
K7290,K72.90,"Hepatic failure, unspecified without coma"
K7291,K72.91,"Hepatic failure, unspecified with coma"
K740,K74.0,Hepatic fibrosis
K7460,K74.60,Unspecified cirrhosis of liver
K7469,K74.69,Other cirrhosis of liver
K7581,K75.81,Nonalcoholic steatohepatitis (NASH)
K759,K75.9,"Inflammatory liver disease, unspecified"
K760,K76.0,"Fatty (change of) liver, not elsewhere classified"
K766,K76.6,Portal hypertension
K7689,K76.89,Other specified diseases of liver
K769,K76.9,"Liver disease, unspecified"
K8000,K80.00,Calculus of gallbladder with acute cholecystitis without obstruction
K8010,K80.10,Calculus of gallbladder with chronic cholecystitis without obstruction
K8012,K80.12,Calculus of gallbladder with acute and chronic cholecystitis without obstruction
K8020,K80.20,Calculus of gallbladder without cholecystitis without obstruction
K8021,K80.21,Calculus of gallbladder without cholecystitis with obstruction
K8050,K80.50,Calculus of bile duct without cholangitis or cholecystitis without obstruction
K8051,K80.51,Calculus of bile duct without cholangitis or cholecystitis with obstruction
K8064,K80.64,Calculus of gallbladder and bile duct with chronic cholecystitis without obstruction
K8066,K80.66,Calculus of gallbladder and bile duct with acute and chronic cholecystitis without obstruction
K8070,K80.70,Calculus of gallbladder and bile duct without cholecystitis without obstruction
K810,K81.0,Acute cholecystitis
K811,K81.1,Chronic cholecystitis
K812,K81.2,Acute cholecystitis with chronic cholecystitis
K819,K81.9,"Cholecystitis, unspecified"
K824,K82.4,Cholesterolosis of gallbladder
K828,K82.8,Other specified diseases of gallbladder
K829,K82.9,"Disease of gallbladder, unspecified"
K830,K83.0,Cholangitis
K831,K83.1,Obstruction of bile duct
K838,K83.8,Other specified diseases of biliary tract
K839,K83.9,"Disease of biliary tract, unspecified"
K8500,K85.00,Idiopathic acute pancreatitis without necrosis or infection
K859,K85.9,"Acute pancreatitis, unspecified"
K8590,K85.90,"Acute pancreatitis without necrosis or infection, unspecified"
